Var1,Freq,Classification
101 Studios ,1,Independent
20th Century Studios ,1,Major
A24 ,3,Independent
Amazon MGM Studios ,4,Mini-Major
Amazon Studios ,2,Mini-Major
Anchor Bay Films ,1,Unknown
Angel Studios ,1,Unknown
Annapurna Pictures ,3,Independent
Apparition ,1,Unknown
Artisan Entertainment ,1,Unknown
Aviron Pictures ,1,Unknown
BH Tilt ,1,Unknown
Bleecker Street Media ,2,Independent
Broad Green Pictures ,2,Unknown
CBS Films ,4,Unknown
Chicago Pictures ,1,Unknown
China Lion Film Distribution ,3,Unknown
Christal Films ,1,Unknown
Clarius Entertainment ,1,Unknown
CMC Pictures ,3,Unknown
Cohen Media Group ,1,Unknown
Columbia Pictures ,7,Major
DEJ Productions ,1,Unknown
Destination Films ,2,Unknown
Dimension Films,7,Unknown
Dimension Films ,11,Unknown
Drafthouse Films ,1,Unknown
DreamWorks ,33,Mini-Major
DreamWorks Distribution ,46,Mini-Major
Electric Entertainment ,1,Unknown
Entertainment One ,4,Unknown
Entertainment Studios Motion Pictures ,4,Unknown
Epic Pictures Group ,1,Unknown
Eros Worldwide ,1,Unknown
EuropaCorp ,1,Unknown
FilmDistrict ,8,Unknown
First Look International ,1,Unknown
Focus Features ,30,Mini-Major
Fox Searchlight Pictures ,7,Mini-Major
Freestyle Releasing ,6,Unknown
Fun Academy Media Group ,1,Unknown
Gramercy Pictures (I) ,1,Unknown
Gulf Film ,1,Unknown
Hummingbird Pictures ,1,Unknown
IFC Films ,3,Independent
Indomina Releasing ,1,Unknown
Ketchup Entertainment ,1,Unknown
Lionsgate ,117,Mini-Major
Lionsgate Premiere ,1,Mini-Major
Magnolia Pictures ,7,Independent
Metro-Goldwyn-Mayer (MGM) ,64,Mini-Major
Millennium Entertainment ,3,Unknown
Miramax ,46,Mini-Major
Neon ,2,Independent
New Line Cinema ,73,Mini-Major
Newmarket Films ,3,Unknown
Open Road Films (II) ,13,Unknown
Orion Pictures ,1,Independent
Overture Films ,4,Unknown
Paladin ,1,Unknown
Pantelion Films ,1,Unknown
Paramount Classics ,1,Unknown
Paramount Pictures ,219,Major
Paramount Pictures International ,1,Major
Paramount Vantage ,5,Unknown
Phaedra Cinema ,1,Unknown
Picturehouse ,1,Unknown
PolyGram ,5,Unknown
Prathyangira Cinemas ,1,Unknown
R.S. Entertainment ,1,Unknown
RADiUS-TWC ,3,Unknown
Relativity Media ,17,Unknown
Revolution Studios ,33,Independent
Roadside Attractions ,6,Independent
Rogue Pictures ,3,Unknown
Romar Entertainment ,1,Unknown
Saban Films ,1,Unknown
Savoy Pictures ,2,Unknown
Screen Gems ,29,Unknown
Searchlight Pictures ,2,Mini-Major
Shout! Factory ,1,Unknown
Showbiz Direct ,1,Unknown
Sony Pictures Classics ,10,Major
Sony Pictures Releasing ,271,Major
Strand Releasing ,1,Unknown
Studio 8 ,2,Unknown
STX Entertainment ,15,Unknown
Summit Entertainment ,16,Unknown
The Avenue Entertainment ,1,Unknown
The Bigger Picture ,1,Unknown
The H Collective ,1,Unknown
The Samuel Goldwyn Company ,5,Unknown
The Weinstein Company ,23,Unknown
THINKFilm ,1,Unknown
Third Rail Releasing ,2,Unknown
TriStar Pictures ,11,Unknown
Twentieth Century Fox ,260,Major
United Artists ,2,Unknown
United Artists Releasing ,2,Unknown
Universal Pictures ,299,Major
USA Films ,4,Unknown
Variance Films ,1,Unknown
Vertical Entertainment ,1,Unknown
Viva Pictures ,2,Unknown
Walt Disney Studios Motion Pictures ,273,Major
Walt Disney Studios Motion Pictures See full company information /IMAX ,1,Major
Warner Bros. ,410,Major
Warner Independent Pictures (WIP) ,3,Unknown
Well Go USA Entertainment ,16,Unknown
